index,tag,label
40456,peanut-oils,Peanut oils
40466,nougats-a-l-orange,nougats-a-l-orange
40481,omaka,omaka
40488,pear-juices,Pear juices
40490,squeezed-pear-juices,Squeezed pear juices
40537,vložena-zelenjava,vložena-zelenjava
40554,virgin-coconut-oils,Virgin coconut oils
40572,mussels-with-escabeche,Mussels with escabeche
40603,toasted-bread,toasted-bread
40644,canned-scarlet-runner-beans,Canned scarlet runner beans
40667,sušene-jajčne-testenine,sušene-jajčne-testenine
40671,daim,daim
40672,viandes-de-daim,viandes-de-daim
40717,oat-milks,Oat milks
40785,galletas-saladas,galletas-saladas
40833,kenyér,kenyér
40834,rozskenyér,rozskenyér
40848,meals-with-rabbit-or-hare,Meals with rabbit or hare
40898,cremas-de-legumbres,cremas-de-legumbres
40912,pistos,pistos
40913,pistos-en-conserva,pistos-en-conserva
40938,whole-marinated-green-olives,Whole marinated green olives
40948,legume-pickles,Legume pickles
40949,pickled-lupin-beans,Pickled lupin beans
40984,liquid-broths,Liquid broths
40985,liquid-vegetable-bouillons,Liquid vegetable bouillons
41009,poltrajna-klobasa,poltrajna-klobasa
41015,seitan,Seitan
41074,vanilla-ice-cream-bars,Vanilla ice cream bars
41082,shelled-pine-nuts,Shelled pine nuts
41113,chocolate-chunks-yogurts,Chocolate chunks yogurts
41117,pecivo,pecivo
41207,frozen-artichokes,Frozen artichokes
41208,frozen-chopped-artichokes,Frozen chopped artichokes
41235,frozen-green-peas,Frozen green peas
41256,frozen-mixed-berries,Frozen mixed berries
41259,apple-pies,Apple pies
41270,piškoti,piškoti
41356,meso,meso
41357,piščančj,piščančj
41363,foies-de-boeuf,foies-de-boeuf
41378,cereais-de-pequeno-almoco,cereais-de-pequeno-almoco
41422,salade-de-viande,salade-de-viande
41427,biskvit,biskvit
41429,kruh-bread,Kruh-bread
41451,chocolate-covered-raisins,Chocolate-covered raisins
41456,meerrettich,meerrettich
41469,naravni-jogurt,naravni-jogurt
41475,čevapčiči,čevapčiči
41476,žar,žar
41477,jabolčni-nektar,jabolčni-nektar
41478,nektar,nektar
41500,filet-de-poulet-marine,filet-de-poulet-marine
41533,smoked-mackerels,Smoked mackerels
41570,escalopes-de-dinde-a-la-milanaise,Escalopes de dinde à la milanaise
41603,beef-kidney,Beef kidney
41778,mont-d-or,Mont d'Or
41808,cassava-crisps,Cassava crisps
41809,chips-de-manioc-a-la-crevette,Chips de manioc à la crevette
41814,mélanges-de-fruits-à-coque,mélanges-de-fruits-à-coque
41823,wild-boar-fresh-meat,Wild boar fresh meat
41835,tripes-de-porc,tripes-de-porc
41845,mango-compotes,Mango compotes
41853,cooked-ham-superior-quality,Cooked-ham-superior-quality
41858,jambons-label-rouge,jambons-label-rouge
41875,crocodiles,crocodiles
41878,bisons,bisons
41879,paves-de-bison,paves-de-bison
41880,viandes-de-bison,viandes-de-bison
41890,gruyere,gruyere
41907,fresh-cheeses,Fresh cheeses
41923,cooked-meats,Cooked meats
41924,cooked-white-meat,Cooked white meat
41926,cooked-pork-meat,Cooked pork meat
41963,white-fish-with-provencal-style-tomato-sauce,White-fish-with-provencal-style-tomato-sauce
41967,onglet,onglet
41979,french-hams,French hams
41980,jambon-de-vendee,Jambon de Vendée
41994,dry-fruit,Dry-fruit
42058,raw-quinoa,Raw-quinoa
42109,mashed-carrots,Mashed carrots
