code,product_name,categories_tags,categories_en,countries_en,ingredients_text,allergens,nutriscore_grade,nova_group,main_category,energy-kcal_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
00004714,piadina romagnola alla riminese all'olio extra vergine di oliva,piadina,piadina,Italy,farina di grano tenero tipc|quot|quot|acqua|olio extra vergine di oliva|sale iodato|agenti lievitan carbonato acido di sodio|difosfato disodico|amido di mais|può contenere tracce di latte e prodotti a base soia|confezionato in atmosfera protettiva e trattato con alcol etilico,,d,4.0,piadina,304.0,7.01,2.48,,,52.2,1.62,1.88,7.09,1.62,0.65
000050,Financiers aux Amandes,biscuits-and-cakes|cakes|financiers|patisseries-fondantes-a-la-poudre-d-amande,Biscuits and cakes|Cakes|Financiers|patisseries-fondantes-a-la-poudre-d-amande,France,sucre|blanc d|oeufs frais|poudre d|amande|beurre concentré|farine de blé|oeufs frais|sirop de glucosefructose|stabilisant|glycérol|sel|poudres à lever|carbonates de sodium diphosphates|blé|arôme,en|en|en|en,e,4.0,patisseries-fondantes-a-la-poudre-d-amande,446.0,23.0,10.0,,,51.0,39.0,1.7,8.0,0.55,0.22
00005006,Sauce Tomate Aux Champignons Bio Kazidomi,groceries|sauces|tomato-sauces,Groceries|Sauces|Tomato sauces,Belgium|France,purée de tomates|huile d|olive vierge extra|cèpes|carottes|céleri|oignons|sel|persil|basilic|issus de l'agriculture biologique,en,a,3.0,tomato-sauces,51.0,2.3,0.4,,,4.8,4.0,1.6,1.7,0.7,0.28
00005007,Sauce Tomate Puttanesca Bio Kazidomi,groceries|sauces|tomato-sauces|puttanesca-sauce|tomate-sauces|puttanesca|sauce-italienne,Groceries|Sauces|Tomato sauces|Puttanesca-sauce|Tomate-sauces|puttanesca|sauce-italienne,Belgium|France,purée de tomates|olives|huile d|olive vierge extra|câpres|ail|poivre noir|issus de l'agriculture biologique,en,a,3.0,sauce-italienne,75.0,5.2,0.8,,,4.3,3.8,1.7,1.5,0.2,0.08
00005008,Sauce Tomate Aux Courgettes Bio Kazidomi,groceries|sauces|tomato-sauces,Groceries|Sauces|Tomato sauces,Belgium|France,purée de tomates|courgettes|huile d|olive extra vierge|oignons|carottes|céleri|sel|poivre noir|issus de l'agriculture biologique,en,a,3.0,tomato-sauces,56.0,3.2,1.0,,,4.2,4.0,2.0,1.5,0.7,0.28
00005009,Sauce Tomate Au Thon & Olives Bio Kazidomi,groceries|sauces|tomato-sauces|tomato-sauces-with-olives,Groceries|Sauces|Tomato sauces|Tomato sauces with olives,Belgium|France,purée de tomates|thon|olives|huile d|olive extra vierge|oignons|sel|persil|issus de l'agriculture biologique,en,a,3.0,tomato-sauces-with-olives,64.0,3.7,1.0,,,4.1,3.8,2.0,2.5,0.7,0.28
00005011,Sauce tomate aux légumes bio Kazidomi,groceries|sauces|tomato-sauces|vegetable-sauces,Groceries|Sauces|Tomato sauces|Vegetable sauces,Belgium|France,purée de tomates|carottes|huile d'olive extra vierge|oignons|courgettes|aubergines|céleri|basilic|sel|issus de l'agriculture biologique,en,a,3.0,vegetable-sauces,62.0,3.9,1.0,,,4.2,4.0,2.0,1.4,0.01,0.004
000051,Fondants Citron,snacks|desserts|sweet-snacks|biscuits-and-cakes|cakes|pastries|lemon-cake,Snacks|Desserts|Sweet snacks|Biscuits and cakes|Cakes|Pastries|Lemon cake,France,sucre|blanc d|oeufs frais|poudre d|amande|beurre pâtissier|farine de blé|pépites au citron|sucre|pomme|pulpe de citron|dextrose|fibres d|ananas|gélifiant|alginate de sodium|correcteurs d|acidité|acide citrique citrates de potassium|stabilisant|phosphates de calcium|arôme naturel de citron|colorant|curcumine|oeufs frais|sirop de glucosefructose|stabilisant|glycérol|poudre de citron|équivalent à|de jus de citron|jus concentré de citron|maltodextrine|sel|poudres à lever|carbonates de sodium diphosphates|blé|arôme naturel de citron|exprimé sur les pépites équivalent à|sur l|ensemble du produit,en|en|en|en,e,4.0,lemon-cake,,24.0,10.0,,,50.0,37.0,2.5,8.1,0.78,0.312
000057820,Dextrose & Maltodextrine mixed berry,sweeteners|sugars|dextrose|maltodextrine,Sweeteners|Sugars|dextrose|maltodextrine,France,dextrose|maltodextrine|arôme|fruits rouges|colorant|rouge betterave|acide citrique,,d,4.0,maltodextrine,400.0,0.0,0.0,,,100.0,50.0,0.0,0.0,0.0,0.0
0000790310013,Sour Fruit Gummies,snacks|sweet-snacks|confectioneries|candies,Snacks|Sweet snacks|Confectioneries|Candies,Germany,sugar|corn syrup|white grape juice from concentrate|gelatin|citric acid|tartaric acid|fumaric acid|sorbitol|natural|artificial flavours|silicon dioxide|anticaking agent|artificial colours|c red|yellow|blue|yellow,,d,4.0,candies,325.0,0.0,0.0,,,75.0,57.5,0.0,5.0,0.127,0.0508
